model,accuracy,precision,recall,f1,roc_auc,sensitivity,specificity
SVM,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953703703703705,0.9523809523809523,0.9861111111111112
Voting Ensemble,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953703703703703,0.9523809523809523,0.9861111111111112
Random Forest,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9927248677248678,0.9047619047619048,0.9722222222222222
